NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10014830,Oahu FCU,HI,53263201,3304,6,10014773,2024-10-01
10018468,Allied Plastics FCU,LA,21687109,1654,3,10018462,2024-04-01
10032440,Cabway Telco FCU,WV,5111632,357,0,10027208,2024-06-01
10027662,Local 520 UA FCU,PA,7642030,1506,2,10027480,2024-08-17
10027623,Latrobe Area Hospital FCU,PA,10075200,1310,2,10027075,2024-10-01
10024430,South Towns Community FCU,NY,18693825,2038,5,10023597,2024-06-30
10033507,Piney Hills FCU,LA,2523307,333,2,10018374,2024-05-01
10021600,Forrest County Teachers FCU,MS,190655,248,3,10021751,2024-06-25
10024891,Shaw University FCU,NC,562536,127,1,10039245,2024-05-01
10028136,Springdale P P G FCU,PA,759953,158,0,10027940,2024-07-01
10029329,CEMC ECU,TN,2471561,486,2,10029561,2024-07-01
10023143,Plainfield CU,NJ,707365,112,1,10023077,2024-05-24
10016895,Bluffton Motor Works Franklin Electric ECU,IN,823124,255,2,10016862,2024-09-01
10033235,Shipbuilders Credit Union,WI,120692194,10602,29,10032951,2024-10-01
10017770,Wakarusa Valley CU,KS,2111762,507,2,10018008,2024-10-01
10022053,Neosho School ECU,MO,2083323,641,1,,1955-05-16
10016132,Rockford Bell CU,IL,38315707,3436,13,10015248,2024-10-01
10010861,Bourns EFCU,CA,64680135,5070,11,10012065,2024-10-01
10004035,Civic FCU,NC,119292517,7678,0,10039189,2024-09-30
10022372,MM EFCU,MT,1283025,268,1,10039791,2024-07-01
,Totals (20 Credit Unions):,,472970161,40090,86,,
