NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10011643,Allied Healthcare FCU,CA,70954230,4970,15,10011574,2024-06-13
10011069,Cooperative Center FCU,CA,126460499,7696,18,10011148,2024-06-17
10014251,Financial Access FCU,FL,34497547,2577,16,10015155,2024-06-17
10012967,First Bristol FCU,CT,106667462,5687,26,10013092,2024-06-28
10011249,Central Coast FCU,CA,172109348,15276,47,10012346,2024-06-17
10029537,Lowland Credit Union,TN,143282063,10217,32,10029652,2024-06-17
10027076,Bellco FCU,PA,175656679,13277,33,10028293,2024-06-17
10011854,Paradise Valley FCU,CA,79229968,4377,14,10011148,2024-06-17
10017585,The Municipal CU,IA,22900756,2175,5,10017335,2024-06-17
,Totals (9 Credit Unions):,,931758552,66252,206,,
