NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10024996,Flasher Community CU,ND,13366878,680,4,10025036,2024-05-03
10013026,Northeastern CT Healthcare CU Inc,CT,10268727,1693,4,10036622,2024-05-03
10017614,United Credit Union,IA,18834063,1812,4,10017681,2024-05-03
10017292,Wufface FCU,IN,6653882,747,4,10025735,2024-05-03
10027598,KGC FCU,PA,9386988,1721,3,10027120,2024-05-03
10027971,GOLD Credit Union,PA,142658632,9295,33,10021115,2024-05-03
10024177,Mohawk Progressive FCU,NY,12430763,1081,4,10024397,2024-05-03
10013942,City and Police FCU,FL,110713055,6621,27,10013690,2024-05-03
10016682,Health Care Idaho CU,ID,13215480,1260,6,10016608,2024-05-03
,Totals (9 Credit Unions):,,337528468,24910,89,,
