NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10016368,Encurage Financial Network,IL,221723549,11801,35,10015523,2024-07-11
10027767,Parkview Community FCU,PA,59733869,7860,15,10026991,2024-07-12
10016030,Peoples Energy CU,IL,27930400,1842,3,10015110,2024-07-12
10028058,St Elizabeth CU,PA,9637296,500,2,10028293,2024-07-11
10012064,1st Valley CU,CA,45967815,2729,8,10031347,2024-07-11
10019595,Lincoln Sudbury Town EFCU,MA,3940493,399,1,10019811,2024-07-11
10018597,Louisiana FCU,LA,409228019,35886,124,10018325,2024-07-11
10014021,Law Enforcement & Technology FCU #971,FL,52738954,4492,8,10014021,2024-07-10
10036425,Florida Rural Electric CU,FL,28447029,2959,5,10013708,2024-07-12
10021885,Edison CU,MO,32086384,3232,6,10022233,2024-07-12
10036261,FRSA CU,FL,5862706,720,2,10014084,2024-07-19
10039746,SW Counties School Employees CU,MO,1764910,712,1,,1993-06-07
10021712,United Methodist of Mississippi FCU,MS,475994,191,1,10021675,2024-07-11
10019326,Cambridge Teachers FCU,MA,26376496,1741,4,10019944,2024-07-11
10026648,SSMOK Employees FCU,OK,6896837,851,3,10026683,2024-07-11
10031034,FCI Federal Credit Union,TX,5355242,935,3,10030791,2024-07-11
10030280,Galveston School EFCU,TX,2373693,650,2,10030277,2024-07-11
,Totals (17 Credit Unions):,,940539686,77500,223,,
