NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10015608,IAA CU,IL,Sean Wells,Nick Brooks
10035536,Home Town FCU,MN,Kim Westphal,Chad Corcoran
10010664,Pyramid FCU,AZ,Raymond Lancaster,Dustin Powell
10032505,Pioneer Appalachia FCU,WV,Dan McGowan,Trevor Hyre
10015378,First Northern Credit Union,IL,Edward Berg,Alex Malone
10019290,Boston Firefighters CU,MA,Rich Hayward,Cristina Prentis
10010922,Central State CU,CA,Anna Lo,Tiffany Chisnall
10023383,Mt Taylor FCU,NM,Jeana Griego,Kathy Gallegos
10029431,BASF Chattanooga FCU,TN,Charlene Slatton,Susan Tate
10012666,Eaton EFCU,CO,Bruno Busnardo,Jake Morse
10026488,Mahoning Valley FCU,OH,Melanie Noble,Joan Bulmer
10027342,ERRL FCU,PA,Karen Callow,Ed Youse
10023526,Becco Buffalo FCU,NY,Guy Demarie,Philip Haylett
10018108,FCI Ashland FCU,KY,Katrina Williams,Mike McDowell
10018118,Gibbs Aluminum FCU,KY,Cassandra Snodgrass,Charles Schefer
10027942,Post Gazette FCU,PA,David Reber,Kelly Maseth
10025887,Butler Heritage FCU,OH,Sandra Creach,Lauren VanBeckum
10028180,Team First FCU,PA,Caren Morris,Heidi Martinez
10024022,LeRoy FCU,NY,Geraldine Panek,Catarina Zinni
10024030,AFGM Enterprises FCU,NY,Sandra Randolph,Pamela Ramsden
10016810,Clifty Creek EFCU,IN,Adriana Ward,Jana Long
10023385,Four Corners FCU,NM,Darrin Davidson,Barrett Lynch
10025540,Fasson EFCU,OH,Leslie Poliszczuk,Robin Hall
10010683,Rim Country FCU,AZ,Debra Perkins,Richard Perkins
10027930,Pittsburgh City Hall Employees FCU,PA,Mary Halligan,Andrew Kloss
10024493,TrailNorth FCU,NY,Shawn Hayes,Marcy Eichen
10013158,Seasons FCU,CT,Keith Wiemert Keith,Keith Wiemert
10014234,Trax CU,FL,Peter Giorgianni,Jessica Stevenson
10026741,Embold Credit Union,OR,Aaron Goff,Rani Khouri
10028160,Sun East FCU,PA,Michael Kaczenski,Deborah Cook
10011262,Noble CU,CA,Gino Cayanan,Angelino CAYANAN
10031081,THD District 17 CU,TX,Karen Sessions,Kimberly Joy
10023094,New Jersey Law and Public Safety CU,NJ,Bonnie Karczewski,Darryl Belinski
10025421,Wright-Dunbar Area CU Inc,OH,Floyd Drakeford,Linda Hunter
10026015,Maumee Valley CU,OH,Chris Gomez,Rebecca Schroeder
10010272,Chem Family CU,AL,Rhonda Heifner,Ashley Patrick
10015095,Carbondale Highway CU,IL,Melissa Naas,Virginia Archambeau
10015359,Dupage County ECU,IL,Griffin Leininger,Kathryn Galles
10030338,Reed CU,TX,Dorothy Hyman,Carla Clakley
10022140,Postal and Community CU,MO,James Spafford,Tina Ryan
10030751,STAR Financial Credit Union,TX,Maria Flores,Holly Luca
10013861,Alliance Credit Union,FL,Timothy Cannon,Tina Hunter
10021377,MPECU,MN,Debora Almirall,Jason Olsen
10014022,Miami Postal Service CU,FL,Jace Reyes,Michele Paramore
10024993,FFE FCU,ND,Emily Teberg,Lacey Onsurez
10010219,Solutions First CU,AL,Frank Garrett,Jennifer Foshee
10025042,Northern States Power Co EFCU,ND,Tom Millette,Paul Durbin
10023146,Plainfield Police and Firemen FCU,NJ,J. Joseph Woodring,Bernard Blake
