NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10012486,County Schools FCU,CA,Jose Peralta,April Remnant
10027143,CACL FCU,PA,Hession John F,Sean Hession
10028805,VAPR FCU,PR,Jose Ramos-Monell,Jose E. Ramos-Monell
10026993,Allegent Community FCU,PA,Angelo Lucatorto,Michael Korhnak
10032300,EvergreenDIRECT CU,WA,Johnpaul McGee,Johnpaul Mcgee
10017934,Midwest Regional CU,KS,Thaddeus Jones,Melissa Douglas
10021372,Expedition CU,MN,Paul Dammann,Shawn Lannier
10014793,Hawaii First FCU,HI,Laura Aguirre,Mary Ann Otake
10027197,Clairton Works FCU,PA,Raven Muir,Caroline Spahr
10037976,Doe Run FCU,KY,Tonya Hardesty,Chrystal Compton
10030232,Corner Stone CU,TX,Stacey McDonald,Stacey Mcdonald
