NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10024391,Schenectady County EFCU,NY,5207525,663,1
10012656,Star Tech FCU,CO,10938907,1615,2
10014811,Local Union 1186 Ibew FCU,HI,13196758,1024,1
10022526,Omaha Douglas FCU,NE,42369666,3583,11
10033387,Pathfinder FCU,WY,72045937,4519,21
10014777,Hawaii Law Enforcement FCU,HI,218524752,14348,33
10018977,First Peoples Community FCU,MD,633453648,34120,152
10013126,Kief Protective MBA CU,CT,680402,112,1
10012774,One Thirteen CU,CO,8707789,1043,2
10026908,Valley CU,OR,115712532,6093,19
10019351,City of Boston CU,MA,558681011,32301,70
10030086,Coastlife CU,TX,512417218,35937,142
10001580,Seneca Nation of Indians FCU,NY,8707775,2538,5
10024157,Encompass Niagara FCU,NY,25222608,3015,8
10037112,Ohio Valley FCU,OH,28296290,2154,5
10027089,BI FCU,PA,3188212,321,3
10035829,MG EFCU,OH,2187773,131,1
10039609,Plumbers and Fitters Local 675 FCU,HI,2638304,872,1
10030182,Telco Plus CU,TX,140293302,8847,50
10032030,Blue Mountain CU,WA,54753862,4497,12
,Totals (20 Credit Unions):,,2457224271,157733,540
