NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10001578,Community Promise FCU,MI,610783,246,3,10020688,11/1/2025
10029759,TSU FCU,TN,1063985,326,2,10029595,12/20/2025
10027711,McKeesport Congregational FCU,PA,228735,66,0,10027285,12/18/2025
10028035,Family 1st FCU,PA,15614104,1686,4,10027099,12/1/2025
10027594,Philadelphia Letter Carriers FCU,PA,6763468,1157,4,10027896,11/3/2025
10024249,Mountain Valley FCU,NY,57530535,4611,16,10023879,12/1/2025
10013439,Louviers FCU,DE,220275194,16594,27,10013409,11/1/2025
10011375,First Tech FCU | Merged,OR,16871126003,712057,1644,10038268,1/1/2026
10028068,St Norberts CU,PA,313313,65,1,10027285,12/11/2025
10010927,Members 1st Credit Union,CA,358942168,23918,60,10026802,11/11/2025
10021426,Wings Financial Credit Union,MN,9390217225,381281,752,10012674,1/1/2026
10011057,AdelFi,CA,581332749,17084,86,10010763,12/1/2025
10031623,Credit Union of Vermont,VT,81022678,3434,8,10031627,1/1/2026
10012852,Community Choice CU,CO,95847850,6384,14,10012863,1/1/2026
10031637,White River CU,VT,53218687,3925,11,10031580,11/1/2025
10013903,First Coast Community CU,FL,149676226,11834,34,10013840,12/1/2025
10013792,ECCO CU,FL,16757895,953,3,10013881,12/1/2025
10015566,Heights Auto Workers CU,IL,29029452,5643,6,10015155,12/1/2025
10012388,UNIFY Financial CU,TX,3427820010,241455,448,10022233,11/1/2025
10013371,Crosspoint FCU,CT,157836415,10260,32,10013092,12/1/2025
10039027,United Arkansas FCU,AR,23154735,2856,8,10010489,12/10/2025
10038054,Loyola University EFCU,IL,38317580,3853,4,10015155,12/1/2025
10027477,Hempfield Area FCU,PA,5263190,508,2,10027812,12/9/2025
10026320,Teamsters Local 92 FCU,OH,1913845,518,1,10026228,1/1/2026
10026033,Plumbers 55 Federal Credit Union,OH,2817156,1033,1,10026008,12/1/2025
10036607,Suncomp EFCU,VA,3495117,235,1,10029791,11/1/2025
10015439,CTA South Federal Credit Union,IL,1159712,612,2,10015155,12/15/2025
10015592,Homewood FCU,IL,1485798,588,2,10015155,11/1/2025
10022816,Mercer County Imprvmt Athrty EFCU,NJ,384122,202,2,10023160,11/23/2025
10034411,Morning Star Baptist FCU,PA,237833,266,1,10027492,11/1/2025
10036871,STP Employees FCU,PA,886563,239,1,10027008,12/2/2025
,Totals (31 Credit Unions):,,31594343126,1453889,3180,,
