NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10022526,Omaha Douglas FCU,NE,Tammy Nelson-Lovett,Matthew Hill
10015817,Maternity BVM CU,IL,Lisa Lillis,Dawn Luhman
10018970,Aberdeen Proving Ground FCU,MD,Don Lewis,Janet Self
10018975,ACT 1st FCU,MD,Christie Clark,Stephanie Boyd
10012137,Mission City FCU,CA,David Waterman,Kamil Sakici
10022113,R-G Federal Credit Union,MO,Joye Conklin,Steve Deere
10013637,Treasury Dept FCU,DC,Alfred Scipio,Tracey Jackson
10012199,SESLOC CU,CA,Gerianne LaChance,Michael Quamma
10021176,Brainerd BN CU,MN,Kaycie Mogensen,Kaycie Hofmann
10031054,Texas Health CU,TX,Tammy Botkin,Derrick Brown
10038831,Kaskaskia Valley Community CU,IL,Kimberly Hocking,Amber Benson
10033493,Mercer Credit Union,IL,Vickie Korns,Jennifer Dixon
10018621,Post Office EFCU,LA,Fred McCoy,Fred Mccoy
10034849,IU 7 FCU,PA,Thomas Joseph,Jordan Elias
