NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10016622,Freedom Northwest CU,ID,588492679,12948,73
10010076,Sycamore FCU,AL,59050917,2775,13
10013127,Community CU of New Milford Inc,CT,15360910,1978,3
10019295,First Priority CU,MA,129146677,5111,26
10029218,Rushmore Electric FCU,SD,24000118,1512,3
10029241,Dakota Star FCU,SD,40092959,3016,14
10025043,Tel-U-Watt FCU,ND,5581583,360,1
10024993,FFE FCU,ND,3873657,462,2
10027424,Lonza FCU,PA,504242,101,2
10011302,Glendale Area Schools CU,CA,428975111,11987,29
10021157,Anoka Hennepin CU,MN,282247942,18728,59
,Totals (11 Credit Unions):,,1577326795,58978,225
