NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10023089,United Cities CU,NJ,25104904,2817,3,10023126,2025-08-01
10025512,Emery FCU,OH,201349277,12916,39,10026233,2025-10-01
10029383,SecurTrust FCU,MS,47506373,3427,11,10021751,2025-08-01
10026973,Alcoa Pittsburgh FCU,PA,33179438,2101,3,10033644,2025-07-31
10023081,Newark Firemen FCU,NJ,8874815,1665,3,10022958,2025-08-01
10026293,Stoffe FCU,OH,4257411,1511,3,,1965-03-20
10023998,Lake Shore Federal Credit Union,NY,22368464,3158,5,10024516,2025-08-15
10013976,Envision CU,FL,846688500,63458,317,10014082,2025-10-01
10016714,AAA FCU,IN,78651110,4639,26,10015155,2025-08-01
10018021,Meritrust CU,KS,2178943543,123247,360,10012600,2025-08-01
10020201,COPOCO Community CU,MI,104267903,7473,32,10020303,2025-08-01
10039706,Opportunities CU,VT,60512606,5374,18,10031593,2025-07-21
10026239,Kraton Belpre FCU,OH,5994178,655,2,10026091,2025-04-24
10031114,Transtar FCU,TX,27810374,2613,5,10022073,2025-04-01
10022309,High Peaks FCU,MT,51229359,3879,12,10022278,2025-06-01
10034985,Legacy Financial FCU,LA,4929478,686,3,10036129,2025-04-01
10021783,Atlas CU,MO,381276,50,2,10021879,2025-05-01
,Totals (17 Credit Unions):,,3702049009,239669,844,,
