NIMBLE_CUNA_ID,Name,Old Mailing Address,New Mailing Address
10025108,Buckeye State CU,"197 E Thornton St, Akron, OH 44311-1537","195 South Main Street, Akron, OH 44308"
10026580,Endurance FCU,"2101 North Highway 81, Duncan, OK 73533","2019 North Highway 81, Duncan, OK 73533"
10033255,Stoppenbach Credit Union,"120 E Milwaukee St, Jefferson, WI 53549-1636","318 South Wisconsin Drive, Jefferson, WI 53549"
10024017,NY TEAM FCU,"65 Broadway, Hicksville, NY 11801-4236","4155 Veterans Memorial Hwy Suite 7, Ronkonkoma, NY 11779"
10021880,Division 6 Highway CU,"14392 S Outer 40, Chesterfield, MO 63017-5710","14323 South Outer Forty Road Suite 100 S, Town and Country, MO 63017"
10029871,American Baptist Assn CU,"PO Box 2167, Alvin, TX 77512","PO Box 489, Angleton, TX 77516"
10021274,Farm Credit EFCU,"375 Jackson St Ste 100, Saint Paul, MN 55101-1810","30 East 7th Street Suite 265, Saint Paul, MN 55101"
10021873,Legacy CU,"3929 E 7th St Ste A, Joplin, MO 64801-1517","3202 South Indiana Avenue, Joplin, MO 64804"
10031671,Bristol VA School System FCU,"220 Lee St, Bristol, VA 24201-4344","280 Lee St, Bristol, VA 24201-4344"
10038648,Northeast Community FCU,"683 Clay St, San Francisco, CA 94111-2501","127 Waverly Place, San Francisco, CA 94108"
10034883,Genesis Employees CU,"800 Forest Avenue, Zanesville, OH 43701","830 Bethesda Drive, Zanesville, OH 43701"
10030738,Texas Plains FCU,"804 S Madison St, Amarillo, TX 79101-3212","5991 South Georgia Street, Amarillo, TX 79110"
