NIMBLE_CUNA_ID,Name,Old Mailing Address,New Mailing Address
10029820,Y-12 FCU,"501 Lafayette Dr, Oak Ridge, TN 37830-7909","P.O. Box 2512, Oak Ridge, TN 37831"
10025421,Wright-Dunbar Area CU Inc,"PO Box 17605, Dayton, OH 45417-0605","PO Box 2800, Dayton, OH 45417-0605"
10017282,Vigo County FCU,"128 S 8th St, Terre Haute, IN 47807-3704","126 S 3rd St, Terre Haute, IN 47807-3704"
10018746,SE LA Veterans Health Care System FCU,"1555 Poydras St Ste 180, New Orleans, LA 70112-3703","2400 Canal St Suite 1Q130, New Orleans, LA 70119"
10017394,Collins Community Credit Union,"1005 Blairs Ferry Rd NE, Cedar Rapids, IA 52402-1219","PO Box 1436, Cedar Rapids, IA 52406"
10024522,Ukrainian National FCU,"PO Box 160, New York, NY 10003","824 East Ridge Road, Rochester, NY 14621"
10026567,True Sky CU,"PO Box 26406, Oklahoma City, OK 73126-0406","10201 S Western Ave, Oklahoma City, OK 73139-2931"
10010653,SunWest FCU,"4141 West Thunderbird Road, Phoenix, AZ 85029","5323 North 99th Avenue, Ste 220, Glendale, AZ 85305"
10010662,Prescott FCU,"PO Box 12756, Prescott, AZ 86304","PO Box  10756, Prescott, AZ 86304"
10024005,Palisades Federal Credit Union,"300 N Middletown Rd Ste 6, Pearl River, NY 10965-1295","16 Orangetown Shopping Center, Orangeburg, NY 10962"
10012210,SMW 104 FCU,"PO Box 2278, San Leandro, CA 94577-0227","PO Box 2279, San Leandro, CA 94577-0227"
10030676,Old Ocean FCU,"PO Box 527, Old Ocean, TX 77463-0527","P. O. Box 867, Sweeny, TX 77480"
10013639,InFirst FCU,"6462 Little River Tpke, Alexandria, VA 22312-1411","PO Box 11263, Alexandria, VA 22312"
10035960,Labor Management FCU,"679 State Route 1957, Lewisport, KY 42351-6967","8225 U.S. 60 W, Lewisport, KY 42351"
10039189,Civic FCU,"3600 Wake Forest Road, Raleigh, NC 27609","PO Box 97128, Raleigh, NC 27624"
10102860,Gulf of Aden FCU,"1821 University Avenue West, Suite 461-11, Saint Paul, MN 55104","2605 Highway 13 West, Burnsville, MN 55337"
