ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,67,2020,635,1452,2087,175515,1820686236,3620592,35512323784,0.03210349784,0.04847687892,0.0512691382
$50M-$100M,74,545,239,380,619,447147,5619201994,3612149,44546481584,0.1195476575,0.123789744,0.1261424425
$100M-$200M,95,449,230,314,544,1019073,13805358228,5651622,77198170119,0.1746323529,0.1803151378,0.1788301226
$200M-$500M,125,403,233,295,528,2747914,39806748699,11403327,168612961397,0.2367424242,0.2409747611,0.236083563
$500M-$1B,71,215,147,139,286,3300706,51199586778,13016975,204732647127,0.2482517483,0.2535693585,0.2500802266
$1B-$2B,77,125,117,85,202,6772274,110116132729,16751739,279382547307,0.3811881188,0.4042728937,0.3941410578
$2B-$5B,77,92,96,73,169,14823273,238451002766,30743095,523364760989,0.4556213018,0.4821659303,0.455611498
$5B-$10B,36,23,36,23,59,13941105,273448701758,21867804,429536307618,0.6101694915,0.6375173749,0.6366137086
> $10B,14,6,9,11,20,30977061,463497920950,36698411,562819136723,0.7,0.8440981545,0.8235290713
Totals,636,3878,1742,2772,4514,74204068,1197765340138,143365714,2325705336648,0.1408949934,0.5175858713,0.5150116488
