NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10020108,BlueOx CU,MI,154334746,13894,52,10020931,2024-07-01
10023398,Southwest FCU,NM,78079812,4274,24,10023312,2025-07-01
10011628,Matson EFCU,CA,21406749,1088,3,10011843,2025-06-26
10028003,Blue Chip FCU,PA,44116980,4032,13,10027837,2025-07-01
10033106,Oshkosh Postal Employees Credit Union,WI,6393976,433,4,10035994,2025-06-01
10025888,Atrium CU,OH,10797022,997,6,10026249,2025-06-12
10013861,Alliance Credit Union,FL,58457102,5477,14,10039245,2025-06-01
10020897,Catholic Vantage Financial,MI,121478403,6667,30,10020874,2025-07-01
10030978,Space City CU,TX,134209610,12151,42,10031044,2025-06-01
10020324,LOC Credit Union,MI,460904140,27555,92,10020227,2022-08-03
10013011,Curtis FCU,CT,225094,50,1,10013365,2025-06-30
10018308,ALEC FCU,LA,5870852,651,2,10018371,2025-07-01
10028900,Postal Employees Regional FCU,RI,5803346,565,2,10028849,2025-06-07
10027140,Beaver Valley FCU,PA,100524192,9083,27,10026991,2025-06-01
10016850,East Chicago Firemen's CU,IN,592142,129,2,10015523,2025-08-01
10031069,Texoma FCU,TX,7845665,758,4,10030738,2025-07-01
10021023,Torch Lake FCU,MI,11227952,1566,5,10020313,2025-07-01
10035069,Life FCU,TX,14408812,1772,2,10026669,2025-05-19
10022731,Thunderbolt Area FCU,NJ,41246938,3362,8,10022848,2025-06-30
10017889,Freedom 1st FCU,KS,39231939,2350,3,10018025,2025-07-01
10021205,City and County Employees FCU,MN,27353564,1675,5,10021513,2025-07-01
10020038,Ann Arbor Postal FCU,MI,418696,91,1,10021063,2025-07-01
10038142,Alabama River CU,AL,22695974,1703,6,10010045,2025-07-01
10018622,Postal CU,LA,16877532,1900,6,10018415,2025-07-01
10021825,Central Communications CU,MO,47108410,3849,12,10022025,2025-05-31
10033362,Wood County Employees Credit Union,WI,672982,148,2,10032750,2025-07-01
,Totals (26 Credit Unions):,,1432282630,106220,368,,
