NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10023538,BET FCU,NY,6396794,455,1,10024482,2024-12-01
10018151,Eastern Kentucky FCU,KY,5298110,801,3,10018077,2025-04-30
10023355,Ft Bayard FCU,NM,4908562,800,2,10023312,2025-05-01
10013141,Northeast Family FCU,CT,102735060,5867,27,10001183,2025-05-01
10016996,Indianapolis Post Office CU,IN,46335492,3047,4,10016883,2025-05-01
10034236,Pine Bluff Postal FCU,AR,310401,65,5,10010456,2025-04-14
10019947,Wellesley Municipal EFCU,MA,27936075,1583,5,10019974,2025-05-01
10022450,Dale Community FCU,NE,25740270,2118,5,10022431,2025-05-01
10036925,Star City FCU,VA,1606117,426,1,10014098,2025-05-01
10013010,C S P EFCU,CT,10332531,1233,3,10036622,2024-05-01
10024006,Lewiston Porter FCU,NY,14412269,841,3,10024150,2025-05-01
10019152,St Joseph Medical Center MD FCU,MD,13771919,1389,2,10019158,2025-04-16
10030696,Pamcel Community FCU,TX,12815077,989,5,10030769,2025-05-01
10021667,McComb FCU,MS,5362735,1336,6,10021643,2025-04-16
10030216,CASE FCU,TX,5641084,678,2,10030182,2025-05-01
10032934,Appletree Credit Union,WI,131860049,5598,14,10020847,2025-05-01
10021835,Multipli CU,MO,184261099,10320,39,10022028,2025-04-01
10017630,Public Employees Credit Union,IA,36652895,1809,3,10017679,2025-04-23
10026323,Taleris CU,OH,65160671,5343,13,10034847,2025-05-01
,Totals (19 Credit Unions):,,701537210,44698,143,,
