NIMBLE_CUNA_ID,Name,Old Street Address,New Street Address
10027935,Pittsburgh Firefighters FCU,"500 S Main St, Pittsburgh, PA 15220-5402","2239 Banksville Road, Pittsburgh, PA 15216"
10038268,First Tech Federal Credit Union,"220 Donald Lynch Blvd, Marlborough, MA 01752-4708","2890 Zanker Road; Suite 120, San Jose, CA 95134"
10000719,Brooklyn Cooperative FCU,"1474 Myrtle Ave, Brooklyn, NY 11237-5128","1308 Myrtle Avenue Ground Floor, Brooklyn, NY 11221-5128"
10001177,United Communities Credit Union Ltd,"148 Talbot St N, Essex, ON N8M02C7","148 Talbot St N, Essex, ON N8M 2C7"
10001225,Lakeland CU Ltd,"5016 50 Ave, Bonnyville, AB T9N02J3","5016 50 Ave, Bonnyville, AB T9N 2J3"
10001355,Starnews CU Ltd,"One Yonge St, Toronto, ON M5E01E5","One Yonge St, Toronto, ON M5E 1E5"
10000800,CU Central of Ontario Ltd,"2810 Matheson Blvd East, Mississauga, ON L4W04X7","2810 Matheson Blvd East, Mississauga, ON L4W 4X7"
10000803,Unigasco Community Credit Union Ltd,"40 Keil Dr S, Chatham, ON N7M03G8","40 Keil Dr S, Chatham, ON N7M 3G8"
10000804,Community First Credit Union Ltd,"289 Bay St, Sault Ste. Marie, ON P6A01W7","289 Bay St, Sault Ste. Marie, ON P6A 1W7"
10000805,Atlas and Civic Employees Credit Union Ltd,"247 East Main St, Welland, ON L3B03X1","247 East Main St, Welland, ON L3B 3X1"
10000806,Auto Workers Community Credit Union Ltd,"322 King St West, Oshawa, ON L1H07L1","322 King St West, Oshawa, ON L1H 7L1"
10000807,Finnish Credit Union Ltd,"191 Eglinton Ave East, Toronto, ON M4P01K1","191 Eglinton Ave East, Toronto, ON M4P 1K1"
10000808,Greater Toronto Area Savings and Credit Union Ltd,"6245 Main St, Stouffville, ON L4A08A1","6245 Main St, Stouffville, ON L4A 8A1"
10000809,La Federation des Caisses de l Ont,"214 chemin Montreal, Ottawa, ON K1L08L8","214 chemin Montreal, Ottawa, ON K1L 8L8"
10000810,Metro Credit Union Ltd,"165 Attwell Dr, Toronto, ON M9W05Y5","165 Attwell Dr, Toronto, ON M9W 5Y5"
10000811,Motor City Community Credit Union Ltd,"6701 Tecumseh Rd E, Windsor, ON N8T01E8","6701 Tecumseh Rd E, Windsor, ON N8T 1E8"
10000812,So-Use Credit Union Ltd,"2265 Bloor St West, Toronto, ON M6S01P1","2265 Bloor St West, Toronto, ON M6S 1P1"
10000813,St Catharines Civic Employees Credit Union Ltd,"82 Lake St, St Catharines, ON L2R05X4","82 Lake St, St Catharines, ON L2R 5X4"
10000814,St Stanislaus-St Casimirs Polish CU,"220 Roncevalles Ave, Toronto, ON M6R02L7","220 Roncevalles Ave, Toronto, ON M6R 2L7"
10000815,The Police Credit Union Ltd,"3650 Victoria Park Ave Ste 303, Toronto, ON M2H03P7","3650 Victoria Park Ave Ste 303, Toronto, ON M2H 3P7"
10000816,Ukrainian Credit Union Ltd,"295 College St, Toronto, ON M5T01S2","295 College St, Toronto, ON M5T 1S2"
10000817,Unilever Employees Credit Union Ltd,"1 Sunlight Park Rd, Toronto, ON M4M01B6","1 Sunlight Park Rd, Toronto, ON M4M 1B6"
10000818,Windsor Family CU Ltd,"2800 Tecumseh Rd East, Windsor, ON N8W01G4","2800 Tecumseh Rd East, Windsor, ON N8W 1G4"
10000852,FirstOntario Credit Union Ltd,"688 Queensdale Ave East, Hamilton, ON L8V01M1","688 Queensdale Ave East, Hamilton, ON L8V 1M1"
10000874,HEPCOE Credit Union,"777 Bay St 26th Flr, Toronto, ON M5G02C8","777 Bay St 26th Flr, Toronto, ON M5G 2C8"
10000896,Sudbury Regional Credit Union Ltd,"1 Gribble St, Copper Cliff, ON P0M01N0","1 Gribble St, Copper Cliff, ON P0M 1N0"
10000908,L Alliance des caisses de l Ont,"1870 Bond St Bag 3500, North Bay, ON P1B04V6","1870 Bond St Bag 3500, North Bay, ON P1B 4V6"
10000824,CU Central of British Columbia,"1441 Creekside Dr, Vancouver, BC V6J04S7","1441 Creekside Dr, Vancouver, BC V6J 4S7"
10000849,Fed des Caisses Desjardins Quebec,"100 Avenue des Commandeurs, Levis, QC G6V07N5","100 Avenue des Commandeurs, Levis, QC G6V 7N5"
10000902,CU Central Alberta Ltd,"#350 N-8500 MacLeod Trail SE, Calgary, AB T2H02N1","#350 N-8500 MacLeod Trail SE, Calgary, AB T2H 2N1"
10000903,CU Central of Saskatchewan,"2055 Albert St, Regina, SK S4P03G8","2055 Albert St, Regina, SK S4P 3G8"
10000904,CU Central of Manitoba,"400-317 Donald St, Winnipeg, MB R3B02H6","400-317 Donald St, Winnipeg, MB R3B 2H6"
10000905,CU Central of New Brunswick,"663 Pinewood Rd, Riverview, NB E1B05R6","663 Pinewood Rd, Riverview, NB E1B 5R6"
10000906,Atlantic Central,"6074 Lady Hammond Rd, Halifax, NS B3K05N3","6074 Lady Hammond Rd, Halifax, NS B3K 5N3"
10000907,CU Central of Prince Edward Island,"281 University Ave, Charlottetown, PE C1A04M3","281 University Ave, Charlottetown, PE C1A 4M3"
10000819,Community Credit Union Ltd,"4901 48th St, Red Deer, AB T4N06M4","4901 48th St, Red Deer, AB T4N 6M4"
10000820,Pioneer Credit Union Ltd,"319 Centre St SW, High River, AB T1V01M6","319 Centre St SW, High River, AB T1V 1M6"
10000821,SAFECU Credit Union Ltd,"11635 160th St, Edmonton, AB T5M03Z3","11635 160th St, Edmonton, AB T5M 3Z3"
10000822,Wainwright Credit Union Ltd,"502 10th St, Wainwright, AB T9W01P4","502 10th St, Wainwright, AB T9W 1P4"
10000823,Yellowhead Credit Union Ltd,"4707 49 Ave Ste 113, Stony Plain, AB T7Z02L6","4707 49 Ave Ste 113, Stony Plain, AB T7Z 2L6"
10000825,East Kootenay Community Credit Union,"920 Baker St, Cranbrook, BC V1C01A5","920 Baker St, Cranbrook, BC V1C 1A5"
10000826,Evergreen Savings Credit Union,"920 Alder St, Campbell River, BC V9W02P8","920 Alder St, Campbell River, BC V9W 2P8"
10000827,Prospera CU,"500-32071 South Fraser Way, Abbotsford, BC V2T01W3","500-32071 South Fraser Way, Abbotsford, BC V2T 1W3"
10000828,Kootenay Savings CU,"300-1199 Cedar Ave, Trail, BC V1R04B8","300-1199 Cedar Ave, Trail, BC V1R 4B8"
10000829,Vancouver City Savings Credit Union,"183 Terminal Ave, Vancouver, BC V6A04G2","183 Terminal Ave, Vancouver, BC V6A 4G2"
10000830,Van-Tel Safeway Credit Union,"2626 East Hastings St, Vancouver, BC V5K01Z6","2626 East Hastings St, Vancouver, BC V5K 1Z6"
10000831,Assiniboine Credit Union,"200 Main St Fl 6, Winnipeg, MB R3C01A8","200 Main St Fl 6, Winnipeg, MB R3C 1A8"
10000832,Astra Credit Union,"1907 Portage Ave, Winnipeg, MB R3J00H9","1907 Portage Ave, Winnipeg, MB R3J 0H9"
10000833,Caisse Groupe Financier | Caisse Financial Group,"205 Provencher Boulevard, Winnipeg, MB R2H00G4","205 Provencher Boulevard, Winnipeg, MB R2H 0G4"
10000834,Carpathia Credit Union,"950 Main St 3rd Fl, Winnipeg, MB R2W03P4","950 Main St 3rd Fl, Winnipeg, MB R2W 3P4"
10000835,North Winnipeg Credit Union,"310 Leila Ave, Winnipeg, MB R2V01L8","310 Leila Ave, Winnipeg, MB R2V 1L8"
10000836,Steinbach CU,"333 Main St, Steinbach, MB R5G01B1","333 Main St, Steinbach, MB R5G 1B1"
10000837,Bergengren Credit Union,"257 Main St, Antigonish, NS B2G02C1","257 Main St, Antigonish, NS B2G 2C1"
10000838,Sydney Credit Union,"95 Townsend St, Sydney, NS B1P06K3","95 Townsend St, Sydney, NS B1P 6K3"
10000839,Central Credit Union,"512 Main St, O'Leary, PE C0B01V0","512 Main St, O'Leary, PE C0B 1V0"
10000840,Metro Credit Union,"281 University Ave, Charlottetown, PE C1A07L3","281 University Ave, Charlottetown, PE C1A 7L3"
10000841,Lloydminster Credit Union,"4907 50th St, Lloydminster, SK S9V01C1","4907 50th St, Lloydminster, SK S9V 1C1"
10000842,Praire Centre Credit Union Ltd,"200 Main Street, Rosetown, SK S0L02V0","200 Main Street, Rosetown, SK S0L 2V0"
10000843,Raymore Savings and Credit Union Ltd,"121 Main Street, Raymore, SK S0A03J0","121 Main Street, Raymore, SK S0A 3J0"
10000844,Sherwood Credit Union,"1960 Albert St, Regina, SK S4P02T4","1960 Albert St, Regina, SK S4P 2T4"
10000845,St Marys Credit Union Ltd,"1515 20th St W, Saskatoon, SK S7M00Z5","1515 20th St W, Saskatoon, SK S7M 0Z5"
10000846,Weyburn Credit Union,"221 Coteau Ave, Weyburn, SK S4H02L3","221 Coteau Ave, Weyburn, SK S4H 2L3"
10000847,Bayview Credit Union,"54 Loch Lomond Rd, Saint John, NB E2J01X7","54 Loch Lomond Rd, Saint John, NB E2J 1X7"
10000848,Caisse Populaire de Shippigan Ltee,"212 Baul J D Gauthier, Shippagan, NB E0B02P0","212 Baul J D Gauthier, Shippagan, NB E0B 2P0"
10000934,Heartland Community Credit Union Ltd,"48 Ontario St, Clinton, ON N0M01L0","48 Ontario St, Clinton, ON N0M 1L0"
10000948,Valley First Credit Union,"184 Main St 3rd Fl, Penticton, BC V2A08G7","184 Main St 3rd Fl, Penticton, BC V2A 8G7"
10000275,Coastal Community CU,"220 - 59 Wharf St, Nanaimo, BC V9R02X3","220 - 59 Wharf St, Nanaimo, BC V9R 2X3"
10000279,NorthShore CU,"1112 Lonsdale Ave Fl 3, North Vancouver, BC V7M02H2","1112 Lonsdale Ave Fl 3, North Vancouver, BC V7M 2H2"
10000306,Northern Credit Union,"681 Pine St, Sault Ste Marie, ON P6B03G2","681 Pine St, Sault Ste Marie, ON P6B 3G2"
10000326,Ganaraska Credit Union Ltd,"17  Queen St, Port Hope, ON L1A02Y8","17  Queen St, Port Hope, ON L1A 2Y8"
10000104,Apex Credit Union Ltd,"1301 16th Ave NW, Calgary, AB T2M00L4","1301 16th Ave NW, Calgary, AB T2M 0L4"
10000539,Greater Vancouver Community CU,"1801 Willingdon Ave, Burnaby, BC V5C05R3","1801 Willingdon Ave, Burnaby, BC V5C 5R3"
10000746,First Calgary Savings and Credit Union,"#200 510 - 16 Avenue N.E., Calgary, AB T2E01K4","#200 510 - 16 Avenue N.E., Calgary, AB T2E 1K4"
10000983,Lambton Financial CU Ltd,"1295 London Rd, Sarnia, ON N7S01P6","1295 London Rd, Sarnia, ON N7S 1P6"
10000996,Cambrian CU,"225 Broadway, Winnipeg, MB R3C05R4","225 Broadway, Winnipeg, MB R3C 5R4"
10001259,Hudson Bay Credit Union Ltd,"208 Chuchill St, Hudson Bay, SK S0E00Y0","208 Chuchill St, Hudson Bay, SK S0E 0Y0"
10001332,Peoples CU,"8034 Yonge St, Innisfil, ON L9S01L6","8034 Yonge St, Innisfil, ON L9S 1L6"
10001384,Kawartha CU,"14 Hunter Street East, Peterborough, ON K9J07B2","14 Hunter Street East, Peterborough, ON K9J 7B2"
10001385,Central 1 CU,"1441 Creekside Dr, Vancouver, BC V6J04S7","1441 Creekside Dr, Vancouver, BC V6J 4S7"
10001464,Coast Capital Savings CU,"15117 101 Ave Flr 4, Surrey, BC V3R08P7","15117 101 Ave Flr 4, Surrey, BC V3R 8P7"
10001492,Belgian-Alliance Credit Union,"1177 Portage Ave, Winnipeg, MB R3G00T2","1177 Portage Ave, Winnipeg, MB R3G 0T2"
10001507,Communication Technologies CU Ltd,"102-220 Yonge St, Toronto, ON M5B02H1","102-220 Yonge St, Toronto, ON M5B 2H1"
10001523,Chinook CU Ltd,"100 2nd Ave, Strathmore, AB T1P01K1","100 2nd Ave, Strathmore, AB T1P 1K1"
