NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10028303,APS FCU,PA,9142143,1051,2,10027400,2025-01-01
10027071,Bedco Hospital FCU,PA,1791223,497,1,10018977,2025-01-01
10027373,Fisher Scientific Emp FCU,PA,2199057,601,1,10027072,2025-01-01
10029947,Bivins FCU,TX,3699752,491,2,10030916,2025-01-01
10018716,TES Regional Healthcare FCU,LA,24169631,1501,6,10018621,2025-01-01
10024620,Tri State Area FCU,NY,41597539,4228,9,10031600,2025-01-01
10014766,HMSA EFCU,HI,62312143,2887,2,10014756,2025-01-01
10027746,NE PA Community FCU,PA,167458808,12581,30,10028262,2025-01-01
10026892,Providence FCU,OR,160103359,15102,29,10026749,2025-01-01
10011362,High Sierra CU,CA,9636116,516,2,10012174,2024-12-02
10029511,Kingston TVA ECU,TN,2319993,315,2,10029518,2025-01-01
10039826,Empower CU,WI,88925162,4639,18,10033159,2025-01-01
10014575,Mutual Savings CU,GA,72407572,5505,14,10010066,2025-01-01
10015193,Chicago Municipal ECU,IL,59408178,11146,15,10015523,2025-01-01
10016357,Illinois Community CU,IL,116090012,10482,39,10015155,2025-01-01
10026767,Advantis CU,OR,1899586086,87669,305,10026904,2024-10-01
10015702,Kane County Teachers CU,IL,464239284,30381,99,10015248,2024-12-01
10031453,TransWest CU,UT,196610440,15493,34,10031290,2025-01-01
10020054,Astera CU,MI,191391030,14570,67,10020650,2025-01-01
10017726,Town & Country CU,IA,32858567,3002,12,10017417,2024-12-01
10020773,Credit Union Advantage,MI,28904910,2127,7,10020200,2025-01-01
10033269,Enterprise Credit Union,WI,34435111,2815,8,10015155,2024-11-30
10033078,Nekoosa Credit Union,WI,27949778,1315,10,10033064,2025-01-01
10021489,Cities CU,MN,33575096,2263,6,10021189,2025-01-01
10019322,Cabot Boston CU,MA,5297657,681,2,10019648,2025-01-01
10032960,LaCrosse Burlington Credit Union,WI,7978245,913,1,10032748,2024-12-01
10035883,Knoll Employees CU,PA,5594001,670,3,10020030,2025-01-01
10031497,Tanner ECU,UT,5961691,758,2,10031531,2024-08-31
10028165,Swindell-Dressler CU,PA,2752443,321,1,10027133,2024-09-01
10034485,CRMC ECU,GA,2978732,800,2,10014525,2024-09-01
10031873,Member One FCU,VA,1648776772,153858,339,10031961,2024-08-01
10021450,Proctor FCU,MN,70830389,6693,19,10021307,2025-01-01
10021040,Live Life FCU,MI,74943851,1003,12,10015155,2024-12-31
10021672,MUNA Federal Credit Union,MS,52349122,6216,18,10021741,2025-01-01
10022444,Creighton FCU,NE,66936571,9829,21,10022560,2024-08-01
10010510,Ouachita Valley Health System FCU,AR,262872,192,1,10010445,2025-01-02
10023956,IRS Buffalo FCU,NY,5095804,753,2,10024224,2025-01-16
10036748,Total Community Action FCU,LA,726354,600,1,10018582,2025-01-01
10024294,Rediform Niagara Falls NY FCU,NY,11004152,1918,3,10024157,2024-07-31
10039589,Mississippi Central FCU,MS,1859723,2309,4,10021643,2025-01-01
10017773,Christ the King Parish FCU,KS,1293652,336,1,10017934,2024-08-15
10020910,Latvian Heritage FCU,MI,2874628,322,8,10020108,2024-12-01
10026270,Springfield Postal EFCU,OH,3691819,544,3,10034847,2024-09-01
10026178,St Paul AME Zion Church Credit Union Inc,OH,213709,159,0,10025338,2024-12-01
,Totals (44 Credit Unions):,,5702233177,420052,1163,,
