NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10012069,Valley Hills FCU,CA,3633072,381,2,10012065,2024-11-01
10023472,Albion School EFCU,NY,1777098,353,2,10024016,2024-10-17
10012930,Arnold Bakers EFCU,CT,1692274,306,1,10036622,2024-10-01
10027540,Jay Bee Employees FCU,PA,1160502,176,0,10028293,2024-11-01
10026211,SCFE CU Inc,OH,1368772,165,2,10025172,2024-11-01
10016364,Tazewell County School ECU,IL,24622495,1039,4,10015219,2024-11-01
10029679,Purity Dairies EFCU,TN,2888925,450,2,10029815,2024-11-01
10025582,SMART FCU,OH,34268651,2884,5,10034847,2024-11-01
10016248,School District 218 EFCU,IL,13861089,913,2,10015155,2024-11-01
10012551,Prospectors FCU,CA,97302944,5202,14,10012502,2024-11-01
10021750,Mississippi FCU,MS,161627745,23286,52,10021705,2024-10-01
10018690,South Louisiana Highway FCU,LA,5845740,548,3,10018325,2024-11-01
10034287,Baltimore Washington FCU,MD,8792421,1467,3,10019150,2024-11-08
10021009,Teamsters CU,MI,13701070,1779,1,10020258,2024-11-01
,Totals (14 Credit Unions):,,372542798,38949,93,,
