NIMBLE_CUNA_ID,Old Name,State,New Name
10014818,Ko?olau FCU,HI,Koolau FCU
10015180,Chicago?s Bravest Credit Union,IL,Chicagos Bravest Credit Union
10014763,L?kahi FCU,HI,Lkahi FCU
10033904,Kaua?i FCU,HI,Kauai FCU
10020108,BlueOx CU,MI,Ignite CU
10020227,LOC Credit Union,MI,MemberFocus Community CU
10020931,Ignite CU,MI,BlueOx CU
10021105,West Michigan CU,MI,WMCU
10002930,Canning?s Employees? CU Co-Op Society Ltd,,Cannings Employees CU Co-Op Society Ltd
10052589,Cooperativa de Ahorro y Cr�dito SPT COOP,PR,Cooperativa de Ahorro y Crédito SPT COOP
10002068,National Farmers? and General Workers Co-Op CU Ltd,,National Farmers and General Workers Co-Op CU Ltd
