NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10013280,Ukrainian Selfreliance New Eng FCU,CT,45234396,3219,15,10016259,2024-06-30
10018776,Changing Seasons FCU,ME,26195689,1990,7,10018957,2024-07-01
10014332,Pinnacle Credit Union,GA,87755247,6778,25,10014509,2024-09-01
10024007,Lexington Ave FCU,NY,19061538,2992,5,10037902,2024-06-30
10036099,Reading MA Town EFCU,MA,7650869,640,2,10019880,2024-07-01
10013087,Wellness FCU,CT,30299070,4601,8,10013033,2024-07-12
10022614,Reno City EFCU,NV,32207425,1749,5,10022613,2024-08-19
10010447,Little Rock FCU,AR,1362132,300,2,10010491,2024-06-20
10021157,Anoka Hennepin CU,MN,282247942,18728,59,10021368,2024-08-01
10020284,Eastpointe Community CU,MI,11159590,1397,4,10020944,2024-09-01
10030732,SPCO Credit Union,TX,37155615,2755,7,10037424,2024-09-01
,Totals (11 Credit Unions):,,580329513,45149,139,,
